t,Elastic energy,Dissipated energy,Total energy,Outer iterations,Inner iterations
0.0,0.0,0.0,0.0,0.0,0.0
0.1111111111111111,0.17630691175510133,0.004412951621231059,0.18071986337633192,1.0,10.0
0.2222222222222222,0.6083998232690775,0.06389543615777471,0.6722952594268479,3.0,28.0
0.3333333333333333,1.06150373392694,0.2832926705457833,1.3447964044727267,6.0,59.0
0.4444444444444444,0.034234207938807264,1.3234427279038397,1.3576769358426393,20.0,217.0
0.5555555555555556,0.024888324384243127,1.3458358076048254,1.370724131989081,2.0,28.0
0.6666666666666666,0.019325626077259392,1.3594186360124925,1.3787442620897603,2.0,31.0
0.7777777777777777,0.015528899818299595,1.368569351479781,1.3840982512980844,1.0,15.0
0.8888888888888888,0.012787586376463314,1.3750807732669237,1.387868359643381,1.0,17.0
1.0,0.010754841633240643,1.379879499814204,1.3906343414474243,2.0,29.0
